Pressure side:

1.000000000E+00 0.000000000E+00
 9.850977659E-01 -2.035114216E-03
 9.700992107E-01 -2.813042374E-03
 9.550791383E-01 -2.918928629E-03
 9.400435686E-01 -2.732555615E-03
 9.250199795E-01 -2.446752507E-03
 9.100052714E-01 -2.146168612E-03
 8.949807286E-01 -1.875223359E-03
 8.799515367E-01 -1.660430338E-03
 8.649287224E-01 -1.517762779E-03
 8.498957753E-01 -1.458237297E-03
 8.348687291E-01 -1.490733935E-03
 8.198434114E-01 -1.622786513E-03
 8.048200011E-01 -1.861432334E-03
 7.897980213E-01 -2.213511150E-03
 7.747789621E-01 -2.686027205E-03
 7.597651482E-01 -3.286021529E-03
 7.447572947E-01 -4.021141212E-03
 7.297565341E-01 -4.899132531E-03
 7.147654295E-01 -5.925367586E-03
 6.997859478E-01 -7.103310432E-03
 6.848194003E-01 -8.437315933E-03
 6.698679328E-01 -9.932275862E-03
 6.549340487E-01 -1.159389131E-02
 6.400204897E-01 -1.342845801E-02
 6.251301169E-01 -1.544327568E-02
 6.102665067E-01 -1.764637046E-02
 5.954335332E-01 -2.004678547E-02
 5.806356668E-01 -2.265457809E-02
 5.658781528E-01 -2.548100241E-02
 5.511666536E-01 -2.853858098E-02
 5.365080237E-01 -3.184134886E-02
 5.219106078E-01 -3.540478647E-02
 5.073841810E-01 -3.924613073E-02
 4.929393530E-01 -4.338205233E-02
 4.785859287E-01 -4.782918096E-02
 4.643345773E-01 -5.260550231E-02
 4.501912296E-01 -5.773228779E-02
 4.361579418E-01 -6.323504448E-02
 4.222399592E-01 -6.914169341E-02
 4.084556401E-01 -7.547765970E-02
 3.947940171E-01 -8.228662610E-02
 3.811632097E-01 -8.966664225E-02
 3.674548864E-01 -9.775362909E-02
 3.536961675E-01 -1.066330671E-01
 3.401190341E-01 -1.162572801E-01
 3.268651664E-01 -1.266115606E-01
 3.139016330E-01 -1.376689225E-01
 3.011948466E-01 -1.491856426E-01
 2.886468172E-01 -1.609176397E-01
 2.760765851E-01 -1.726533473E-01
 2.632310390E-01 -1.841757149E-01
 2.499272078E-01 -1.950849742E-01
 2.361924499E-01 -2.047045827E-01
 2.223661393E-01 -2.122163475E-01
 2.087754905E-01 -2.171351463E-01
 1.952556670E-01 -2.194206119E-01
 1.810345501E-01 -2.191950828E-01
 1.658812463E-01 -2.166972905E-01
 1.501709819E-01 -2.122464627E-01
 1.344734132E-01 -2.063587308E-01
 1.191904172E-01 -1.996423751E-01
 1.045271680E-01 -1.928368360E-01
 9.104364365E-02 -1.853848547E-01
 7.908993959E-02 -1.754819304E-01
 6.752069294E-02 -1.635755301E-01
 5.591290444E-02 -1.499522477E-01
 4.442182183E-02 -1.347701102E-01
 3.342141956E-02 -1.179404855E-01
 3.342141956E-02 -1.179404855E-01
 2.343964018E-02 -9.878798574E-02
 1.565384120E-02 -7.972992957E-02
 9.936673567E-03 -6.211910769E-02
 5.709487014E-03 -4.586867243E-02
 2.565714065E-03 -3.048207611E-02
 5.701814662E-04 -1.531997789E-02
 0.000000000E+00 0.000000000E+00


Suction side:

0.000000000E+00 0.000000000E+00
 1.064950367E-03 1.489647292E-02
 3.817328485E-03 2.974488027E-02
 8.016094565E-03 4.425067827E-02
 1.347782277E-02 5.833098665E-02
 2.009079978E-02 7.190914452E-02
 2.779343911E-02 8.489950001E-02
 3.656112030E-02 9.719557315E-02
 4.639468342E-02 1.086566746E-01
 5.730812624E-02 1.190924719E-01
 6.931119412E-02 1.282495856E-01
 8.233591169E-02 1.358829439E-01
 9.616913646E-02 1.419327110E-01
 1.105755195E-01 1.464554369E-01
 1.253494173E-01 1.495797038E-01
 1.403332949E-01 1.514696479E-01
 1.554147899E-01 1.522954106E-01
 1.705188900E-01 1.522168070E-01
 1.856001168E-01 1.513757706E-01
 2.006329894E-01 1.498951018E-01
 2.156039178E-01 1.478798091E-01
 2.305082977E-01 1.454199553E-01
 2.453476042E-01 1.425932795E-01
 2.601270080E-01 1.394678205E-01
 2.748541832E-01 1.361043602E-01
 2.895371914E-01 1.325537413E-01
 3.041802645E-01 1.288419962E-01
 3.187867105E-01 1.249881983E-01
 3.333600760E-01 1.210112572E-01
 3.479045928E-01 1.169298887E-01
 3.624246120E-01 1.127626449E-01
 3.769250810E-01 1.085276380E-01
 3.914109468E-01 1.042429656E-01
 4.058873653E-01 9.992631525E-02
 4.203595519E-01 9.559530765E-02
 4.348326325E-01 9.126731008E-02
 4.493116140E-01 8.695961535E-02
 4.638016820E-01 8.268919587E-02
 4.783076048E-01 7.847300917E-02
 4.928341210E-01 7.432781905E-02
 5.073853731E-01 7.027035952E-02
 5.219642520E-01 6.631378829E-02
 5.365709066E-01 6.246087700E-02
 5.512048006E-01 5.871277303E-02
 5.658655763E-01 5.507094041E-02
 5.805526972E-01 5.153730512E-02
 5.952661633E-01 4.811401293E-02
 6.100053787E-01 4.480386525E-02
 6.247701645E-01 4.161005840E-02
 6.395602822E-01 3.853618354E-02
 6.543755531E-01 3.558644652E-02
 6.692159772E-01 3.276566789E-02
 6.840815544E-01 3.007930517E-02
 6.989717484E-01 2.753368765E-02
 7.138864398E-01 2.513598837E-02
 7.288258076E-01 2.289433777E-02
 7.437890768E-01 2.081798762E-02
 7.587744594E-01 1.890972815E-02
 7.737783790E-01 1.716221869E-02
 7.888014317E-01 1.556727197E-02
 8.038366437E-01 1.411783788E-02
 8.188868761E-01 1.280601136E-02
 8.339472413E-01 1.162444614E-02
 8.490154147E-01 1.056530792E-02
 8.640970588E-01 9.619515389E-03
 8.791837692E-01 8.777210489E-03
 8.942702413E-01 8.025419898E-03
 9.093614221E-01 7.344693877E-03
 9.244564176E-01 6.703381427E-03
 9.395461679E-01 6.051149219E-03
 9.546453953E-01 5.305966362E-03
 9.698064923E-01 4.278386943E-03
 9.849748015E-01 2.589645796E-03
 1.000000000E+00 0.000000000E+00

